City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Remedios,70,CO,1569358622,73.57,4.92,7.03,-74.7,82
Mossendjo,100,CG,1569358622,74.65,4.68,-2.95,12.72,88
Havoysund,75,NO,1569358622,42.8,18.34,71,24.66,75
Manono,92,CD,1569358623,75.55,0.36,-7.3,27.4,63
Tawang,74,BT,1569358623,50.71,2.42,27.59,91.87,95
Dauphin,75,CA,1569358623,60.8,16.11,51.15,-100.04,63
Mbanza-Ngungu,3,CD,1569358624,78.97,9.73,-5.25,14.87,65
Cienaga,40,CO,1569358624,89.6,4.7,11.01,-74.25,74
Dingle,5,PH,1569358624,73.75,4.29,11,122.67,94
College,40,US,1569358624,42.01,1.54,64.86,-147.8,57
Mao,90,DO,1569358503,84.2,12.75,19.55,-71.08,94
La Romana,75,DO,1569358625,87.8,13.87,18.43,-68.97,70
Prince Rupert,90,CA,1569358625,55.4,5.82,54.32,-130.32,93
Nsanje,0,MZ,1569358625,71.59,10.56,-16.92,35.26,74
San Clemente,1,US,1569358535,98.6,11.41,33.43,-117.61,33
Longyearbyen,75,NO,1569358626,35.6,8.05,78.22,15.63,93
Bilma,0,NE,1569358626,88.33,4.83,18.69,12.92,11
Maba,69,CN,1569358626,61.51,1.36,24.68,113.59,72
Wagga Wagga,0,AU,1569358626,37,4.7,-35.12,147.37,100
Mount Pleasant,40,US,1569358626,93.99,10.29,33.16,-94.97,49
Christchurch,0,NZ,1569358627,57,4.7,-43.53,172.64,87
Saint-Augustin,90,CA,1569358627,62.01,9.17,45.63,-73.98,67
Erenhot,0,CN,1569358627,63.31,7.4,43.65,111.97,23
Floriano,98,BR,1569358628,91.03,4.79,-6.77,-43.02,30
Ust-Omchug,100,RU,1569358628,20.83,11.72,61.13,149.63,85
Mundo Nuevo,20,CL,1569358628,57.2,10.29,-32.72,-71.41,76
Belyy Yar,0,RU,1569358628,46.4,2.68,53.6,91.39,87
Abulug,51,PH,1569358629,71.77,3.74,18.45,121.45,92
Tilichiki,100,RU,1569358629,33.25,10.51,60.47,166.1,94
Aranos,0,NA,1569358630,58.63,12.95,-24.14,19.11,15
Newark,40,US,1569358630,78.8,13.87,40.74,-74.17,36
Lulea,0,SE,1569358630,39.2,3.36,65.58,22.15,86
Waingapu,73,ID,1569358631,71.23,9.8,-9.65,120.26,92
Bundaberg,75,AU,1569358631,66.99,6.93,-24.87,152.35,93
Cloquet,1,US,1569358631,73.99,5.75,46.72,-92.46,56
Sangar,100,RU,1569358632,31.45,4.16,63.92,127.47,93
Derzhavinsk,34,KZ,1569358632,41.35,8.03,51.1,66.31,54
Phan Thiet,21,VN,1569358632,71.95,2.37,10.93,108.1,93
Waipawa,29,NZ,1569358633,50,18.99,-39.94,176.59,77
Clonakilty,75,IE,1569358633,57.2,13.87,51.62,-8.87,100
Coari,100,BR,1569358633,92.11,2.68,-4.09,-63.14,48
Saldanha,0,PT,1569358634,59.17,7.05,41.42,-6.55,79
Varena,0,LT,1569358634,39.2,2.24,54.21,24.57,69
Safranbolu,98,TR,1569358634,61.33,1.99,41.25,32.69,51
Vandalur,40,IN,1569358635,82.4,5.82,12.89,80.08,88
Tommot,100,RU,1569358635,30.55,0.92,58.97,126.27,89
Hami,0,CN,1569358635,66.37,3.4,42.84,93.51,15
Lere,98,TD,1569358636,77.53,4.03,9.66,14.23,86
Marzuq,4,YE,1569358636,75.01,1.48,14.4,46.47,28
Cobh,75,IE,1569358636,59,13.87,51.85,-8.29,100
Hermiston,1,US,1569358636,82,24.16,45.84,-119.29,36
Verkhnyaya Tishanka,99,RU,1569358637,39.91,3.8,51.32,40.54,59
Noumea,0,NC,1569358637,72,15.35,-22.28,166.46,72
Port Augusta,0,AU,1569358637,46.99,5.82,-32.49,137.76,93
Fukue,20,JP,1569358638,73.4,18.34,35.03,136.69,64
Ashland,1,US,1569358582,81,4.7,38.48,-82.64,31
Peniche,0,PT,1569358638,64.99,4,39.36,-9.38,89
Abu Samrah,0,SY,1569358638,64.75,4.12,35.3,37.18,66
Peterhead,20,AU,1569358499,46.99,3.87,-34.83,138.5,100
Salinopolis,0,BR,1569358638,81.13,18.45,-0.61,-47.36,80
Grinnell,40,US,1569358634,84.2,16.11,41.74,-92.72,61
Nago,0,IT,1569358639,64.99,3.36,45.88,10.89,87
Lyngseidet,75,NO,1569358639,42.8,11.41,69.58,20.21,56
Ekhabi,100,RU,1569358640,47.29,39.03,53.51,142.97,73
Leningradskiy,100,RU,1569358640,34.69,11.27,69.38,178.42,97
Lasa,20,CY,1569358640,73.4,8.05,34.92,32.53,77
Dongli,0,CN,1569358641,71.6,4.47,24.18,117.61,68
Veraval,74,FR,1569358641,60.01,13.87,49.65,0.71,93
Havelock,20,US,1569358502,88,6.93,34.88,-76.9,48
Tairua,0,NZ,1569358641,55.99,21,-37.02,175.85,71
Ossora,100,RU,1569358642,44.95,12.88,59.24,163.07,94
Dongling,100,CN,1569358642,72,1.63,32.28,121.37,72
Tigil,100,RU,1569358642,46.39,13.67,57.8,158.67,69
La Paz,5,MX,1569358517,89.6,5.82,24.15,-110.32,35
Santa Quiteria do Maranhao,87,BR,1569358643,79.69,5.77,-3.52,-42.55,67
Velikiy Ustyug,98,RU,1569358643,34.87,6.69,60.76,46.3,95
Lavrentiya,0,RU,1569358643,33.61,6.49,65.58,-170.99,70
Turayf,0,SA,1569358644,77,8.05,31.68,38.65,22
Chekhov,0,RU,1569358644,41,6.71,55.14,37.45,80
Ucluelet,40,CA,1569358485,69.01,10.29,48.94,-125.55,77
Makubetsu,0,JP,1569358644,47.47,7.05,42.84,143.34,75
Angoche,0,MZ,1569358645,73.21,6.31,-16.23,39.91,87
Kudahuvadhoo,100,MV,1569358645,80.23,8.59,2.67,72.89,75
Kununurra,40,AU,1569358646,75.2,11.41,-15.77,128.74,23
Kokopo,100,PG,1569358646,72.85,1.95,-4.34,152.27,91
Gat,23,SN,1569358646,80.6,3.36,14.69,-16.54,88
Ixtapa,40,MX,1569358646,89.6,12.75,20.71,-105.21,75
Bud,20,NO,1569358647,53.6,8.05,62.91,6.91,93
Solnechnyy,27,RU,1569358647,37.57,10.18,50.72,136.64,74
Batemans Bay,99,AU,1569358647,46,4,-35.71,150.18,86
Marawi,45,PH,1569358647,73.99,5.99,8,124.29,82
Catemaco,75,MX,1569358648,89.6,11.41,18.42,-95.11,62
Idenao,75,CM,1569358648,78.8,8.05,4.25,9,88
Makat,0,KZ,1569358648,48.19,4.23,47.65,53.35,37
Taoudenni,0,ML,1569358361,98.41,8.81,22.68,-3.98,9
Sheridan,40,US,1569358649,86,4.7,39.65,-105.03,10
Lluta,0,PE,1569358649,69.8,9.17,-16.02,-72.01,16
Rio Hato,40,PA,1569358649,84.2,6.93,8.38,-80.16,74
Uncia,96,BO,1569358649,63.67,12.37,-18.47,-66.57,27
Hihya,0,EG,1569358650,75.2,10.29,30.67,31.59,69
Marsh Harbour,98,BS,1569358650,78.61,12.37,26.54,-77.06,74
Hastings,29,NZ,1569358650,49.81,17.87,-39.64,176.84,63
Timra,0,SE,1569358651,48,5.82,62.49,17.33,87
Grindavik,75,IS,1569358651,53.6,12.75,63.84,-22.43,100
Bintulu,75,MY,1569358364,78.8,1.12,3.17,113.03,100
Geraldton,75,CA,1569358651,71.6,18.34,49.72,-86.95,43
Tulum,40,MX,1569358652,89.6,6.93,20.21,-87.46,75
Khartoum,64,SD,1569358652,93.2,9.17,15.59,32.54,32
Paamiut,100,GL,1569358653,40.81,30.91,61.99,-49.67,86
Taybad,0,IR,1569358653,57.73,3.69,34.74,60.78,42
Shingu,6,JP,1569358653,56.83,5.84,33.72,135.99,94
Gobabis,0,NA,1569358654,64.4,2.24,-22.45,18.97,10
Nauta,100,PE,1569358654,73.21,5.7,-4.51,-73.58,97
Zenzeli,66,RU,1569358654,53.77,10.25,45.92,47.05,72
Aitape,100,PG,1569358655,77.17,3.67,-3.15,142.36,88
Araouane,0,ML,1569358655,97.69,7.43,18.9,-3.53,7
Hakkari,90,FI,1569358655,43,4.7,61.34,23.75,100
Port Hardy,75,CA,1569358655,55.4,8.05,50.7,-127.42,93
Acapulco,90,MX,1569358656,84.2,3.36,16.86,-99.88,79
Pimentel,26,BR,1569358656,84.73,3.69,-3.7,-45.5,58
Takab,0,IR,1569358656,41.17,1.16,36.4,47.11,60
Bridgewater,100,CA,1569358657,64.99,8.95,44.38,-64.52,90
Tonk,0,IN,1569358657,76.45,7.74,26.16,75.79,88
Papara,0,BR,1569358657,82.4,13.87,-3.98,-38.73,65
Hilton Head Island,1,US,1569358658,93.2,3.36,32.16,-80.75,38
Hailar,0,CN,1569358658,45.67,6.26,49.2,119.7,61
Yeniseysk,98,RU,1569358658,46.75,5.91,58.45,92.17,78
Guanica,90,PR,1569358658,84,3.36,17.97,-66.91,88
Coquimbo,20,CL,1569358659,57.2,13.87,-29.95,-71.34,67
Bloomfield,1,US,1569358397,82.4,14.99,40.75,-92.42,45
Cassilandia,55,BR,1569358659,88.33,10.02,-19.11,-51.73,31
Talara,40,PE,1569358659,62.6,16.11,-4.58,-81.27,290
Kijang,0,KR,1569358660,57.2,6.93,35.24,129.21,87
Ponta Delgada,20,PT,1569358660,71.01,2.24,37.73,-25.67,77
Huanren,33,CN,1569358661,45.49,1.72,41.26,125.37,90
Kloulklubed,0,PW,1569358661,82.39,10.02,7.04,134.26,76
Quibdo,40,CO,1569358432,71.6,11.41,5.69,-76.66,53
Itoman,20,JP,1569358662,77,5.82,26.12,127.67,83
Jalu,0,LY,1569358662,76.63,2.82,29.03,21.55,31
